break_quarter,horizon,n_obs,beta_pre,beta_pre_se,beta_pre_pvalue,beta_change,beta_change_se,beta_change_pvalue,beta_post,r_squared
2013Q3,0,69,-0.0048891129452301625,0.006242708319873751,0.4335262480927229,0.00695270736910223,0.008249298240526622,0.3993268271114827,0.002063594423872068,0.47612627447554123
2013Q3,1,68,0.006852037098450166,0.007093078094863436,0.33403545746057417,0.00139029179764584,0.010221156194488944,0.8918046865439689,0.008242328896096007,0.42323155340875895
2013Q3,2,67,0.0021910789228510455,0.006112797916202192,0.7200131269173959,-0.012946154704824261,0.007047242995716518,0.06620215921037408,-0.010755075781973215,0.549638507198593
2013Q3,3,66,-0.010414989618016415,0.005933434983709685,0.07920710779454103,0.011823695797998694,0.007588899413909112,0.11922729729042178,0.0014087061799822782,0.6308948961918153
2013Q3,4,65,-0.0116049625318602,0.005866669126933583,0.04791542078708927,0.020907364846223103,0.007117823094240637,0.003310561900134712,0.009302402314362903,0.6920667051469245
2013Q3,5,64,-0.012466931759484625,0.003046171581093738,4.264605368975466e-05,0.024771932872675546,0.007614213286211655,0.0011404068829631083,0.012305001113190921,0.6685342261904881
2013Q3,6,63,-0.01629077369618801,0.0076870107461259,0.03406850777033259,0.021824527894403145,0.009786603912404818,0.025744721649692985,0.005533754198215134,0.7159124720867929
2013Q3,7,62,-0.008663525937961642,0.008475459797911642,0.306691223613238,0.012115261656130746,0.011285003805404824,0.2830146499431896,0.0034517357181691032,0.6152103932951067
2013Q3,8,61,-0.01608201306112794,0.004860357163104844,0.0009369238619943667,0.02187615268658971,0.007533273367872542,0.003685020808449451,0.005794139625461773,0.7681583232718903
2014Q1,0,69,-0.00470497554524185,0.00616301320804695,0.4452121819699928,0.0064592312099739455,0.008196109181049672,0.4306469524006692,0.0017542556647320955,0.47795058596692375
2014Q1,1,68,0.006257654137267119,0.006902597584360041,0.3646368192011472,0.0018184985220074598,0.010084959251312257,0.856903015640006,0.008076152659274579,0.4299361184540339
2014Q1,2,67,0.0012292019947333778,0.005890837979614222,0.8347110517582308,-0.012262439132356456,0.006979324925309488,0.07892354272997115,-0.011033237137623077,0.5624794408734297
2014Q1,3,66,-0.011211989738941119,0.005866233353490976,0.055969149630264205,0.012779433639723186,0.007425002538261752,0.0852262831092673,0.001567443900782067,0.6396664711339105
2014Q1,4,65,-0.011246495066277465,0.005949729022021679,0.058724087962542526,0.02070552121207663,0.007192580524690651,0.0039927580940877375,0.009459026145799167,0.6849225006230322
2014Q1,5,64,-0.01183626451889825,0.003262797568251146,0.000286020449021545,0.023811941522534272,0.007706519891858634,0.0020026188782469364,0.011975677003636023,0.6650806702140457
2014Q1,6,63,-0.016606044733490952,0.007594796505871169,0.028778831324005844,0.021908819451534646,0.009386485546100888,0.019591470484150574,0.005302774718043694,0.7209636973503747
2014Q1,7,62,-0.009112732137763606,0.008364215920807617,0.2759377287529905,0.01261303832438693,0.011038818485290517,0.253201532562364,0.0035003061866233243,0.6193228254371241
2014Q1,8,61,-0.01584445990741942,0.005033410348459009,0.0016447169529281492,0.021379833981841515,0.0075229729566264935,0.004484000026587857,0.005535374074422096,0.7682416022933665
2015Q1,0,69,-0.007684837936768639,0.006531614449876461,0.23937107083468723,0.012416724458210876,0.008476559105694965,0.14296709923709838,0.004731886521442237,0.483945696672167
2015Q1,1,68,0.00553425019225607,0.006712012940101989,0.4096389709171283,0.003258941482883599,0.010419869440074104,0.7544613215342616,0.008793191675139669,0.42513240120688744
2015Q1,2,67,0.0008944217570341637,0.005411190723587176,0.8687148505467732,-0.014404214575865172,0.006655158038424819,0.030436077576300017,-0.013509792818831008,0.5599653507507694
2015Q1,3,66,-0.011548768858345076,0.004991845446968908,0.020693686040712884,0.013402205974362669,0.007140713519706946,0.06053562569529347,0.0018534371160175925,0.6360765441485281
2015Q1,4,65,-0.010243567453846403,0.005697414668936375,0.072187692464262,0.019237837624957992,0.007039735272535257,0.00628079569281288,0.008994270171111589,0.6854907626458835
2015Q1,5,64,-0.010047325088514459,0.004236589887458165,0.017713193383418462,0.02078637196644844,0.009227691733309234,0.024283877993695354,0.010739046877933981,0.6657281181266994
2015Q1,6,63,-0.01818011748871509,0.006324573739993723,0.004046413753453301,0.027091562586076,0.0066481517176276116,4.600410679609163e-05,0.008911445097360911,0.732256534260747
2015Q1,7,62,-0.008744913797061878,0.00732481323001425,0.23252673983327687,0.012132018475140793,0.010070341472661929,0.22830847135195975,0.0033871046780789144,0.6188084074915018
2015Q1,8,61,-0.013249229764035544,0.006150265260894248,0.031220306261977082,0.017773070677721617,0.008855533840784474,0.04474949153085405,0.0045238409136860724,0.7623764271864306
2016Q1,0,69,-0.006947828417881358,0.00555697830180474,0.21119402323091963,0.01379763435590577,0.009154746182463548,0.13177057138182283,0.006849805938024412,0.4847733676565861
2016Q1,1,68,0.006214472359301565,0.005916536391940938,0.29355424503281047,0.0023013036491843367,0.012341323785437779,0.8520751224582623,0.008515776008485902,0.42313184197224496
2016Q1,2,67,-0.002217510414779172,0.004894890766445739,0.6505303681846232,-0.010269727599798896,0.007977326491961948,0.19796724252709064,-0.012487238014578067,0.5393770228551834
2016Q1,3,66,-0.011619987483301699,0.0040069263305421545,0.0037319203817184335,0.018933386844793176,0.006853718695618167,0.0057360845114615725,0.007313399361491477,0.6304803288962346
2016Q1,4,65,-0.007868244820719876,0.006433557837215677,0.22132948578100986,0.020923153559442156,0.008103764625780841,0.00982565172291621,0.01305490873872228,0.6723178405639543
2016Q1,5,64,-0.009610362626917779,0.0034376599778181104,0.0051801589402420654,0.025642915623635004,0.008333384573559253,0.0020900345981271396,0.016032552996717225,0.672153676067716
2016Q1,6,63,-0.01631710215110957,0.006281601406926548,0.009387715690737016,0.02838603743489783,0.006980671770545021,4.774983585490965e-05,0.01206893528378826,0.7391026763124451
2016Q1,7,62,-0.007340647884387505,0.006556037312495926,0.26285118942836194,0.007486484146312917,0.011409401323503324,0.5117160302441205,0.00014583626192541266,0.6302719829101773
2016Q1,8,61,-0.010851978756106585,0.006818298795173551,0.11147545447145844,0.016532700963983835,0.010102797734271264,0.10174590547560566,0.005680722207877249,0.7586362999552739
